ID,rating,roaster,name,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_best_value,type_pod_capsule,type_blend,type_estate,type_peaberry,type_barrel_aged,type_aged,location,origin,roast,review_date,agtron,aroma,acid,body,flavor,aftertaste,region,value_standard,blind_assessment_sentiment,notes_sentiment,bottom_line_sentiment
1295,93,Paradise Roasters,Kona Champagne Natural Black Rock Farm,0,0,0,0,0,0,0,1,0,0,0,"Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Light,9/1/2020,62/80,9,9,8,9,8,hawaii,0.073340506,0.7351,0.6369,0.6808
1296,93,Kakalove Cafe,Guatemala Washed El General Lot SummerEnd 2020,1,0,0,0,0,0,1,1,0,0,0,"Chia-Yi, Taiwan","Acatenango growing region, central Guatemala",Medium-Light,9/1/2020,52/70,9,,8,9,8,central_america,0.029101042,0.802,0.4404,0.7783
1297,92,Kakalove Cafe,Crescent Blend,1,0,0,0,0,0,1,0,0,0,0,"Chia-Yi, Taiwan",Ethiopia; Nicaragua; Guatemala,Medium,9/1/2020,47/62,9,,8,8,9,other,0.02400836,0.3818,0.4404,0.4767
1298,93,De Clieu Coffee,Ethiopia Guji Uraga,0,0,0,0,0,0,0,0,0,0,0,"Taipei, Taiwan","Guji Zone, southern Ethiopia",Medium-Light,9/1/2020,60/76,9,9,8,9,8,africa_arabia,0.072752606,0.9001,0.3612,0.4404
1299,92,Durango Coffee Company,Costa Rica Perla Negra,0,1,0,0,0,0,0,1,0,0,0,"Durango, Colorado","Sabanilla de Alajuela growing region, Costa Rica",Medium,9/1/2020,52/68,9,8,8,9,8,central_america,0.049824512,0.7184,0.8658,0.4019
1300,94,Peacock Coffee Roaster,Indonesia Lintong Mandheling,0,0,0,0,0,0,0,0,0,0,0,"Taipei, Taiwan","Lintong growing region, North Sumatra Province, Indonesia",Medium-Light,9/1/2020,58/78,9,9,9,9,8,asia_pacific,0.066,0.8658,0.7346,0.2023
1301,93,Dory Coffee Roasters,Ethiopia Sidamo Bensa Natural Single-Variety Kurume G1,0,0,0,0,0,0,0,0,0,0,0,"Taipei, Taiwan","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,9/1/2020,56/70,9,8,9,9,8,africa_arabia,0.100434783,0.7541,0.7783,0.8176
1302,93,Atomic Coffee Roasters,Costa Rica La Pastora,0,0,0,0,0,0,0,1,0,0,0,"Salem, Massachusetts","Santa Maria de Dota, Costa Rica",Medium-Light,9/1/2020,60/76,9,8,9,9,8,central_america,0.052910986,0.836,0,0.4877
1303,92,Lamppost Coffee Roasters,Papua New Guinea “Papa Kinne”,0,0,0,0,0,0,0,1,0,0,0,"Bonney Lake, Washington","Purosa Village, Eastern Highlands, Papua New Guinea",Medium-Light,9/1/2020,54/72,9,8,8,9,8,asia_pacific,0.044092488,0.8316,0,0.6597
1304,94,Dragonfly Coffee Roasters,Ethiopia Yirgacheffe Natural Farm Direct,0,0,0,0,0,0,0,0,0,0,0,"Henderson, Nevada","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,9/1/2020,58/76,9,9,9,9,8,africa_arabia,0.064668983,0.7845,0.3612,0.25
1305,94,Dragonfly Coffee Roasters,Kenya Karatina AA 2020,0,0,0,0,0,0,0,0,0,0,0,"Henderson, Nevada","Nyeri growing region, south-central Kenya",Medium-Light,9/1/2020,58/76,9,9,9,9,8,africa_arabia,0.070547981,0.9153,0,0.7096
1306,94,Peach Coffee Roasters,Colombia San Luís Gesha,0,0,0,0,0,0,0,1,0,0,0,"Johns Creek, Georgia","Tolima, Colombia",Medium-Light,8/1/2020,60/76,9,9,9,9,8,south_america,0.088149703,0.9382,0,0.743
1307,95,JBC Coffee Roasters,Karani Kenya,0,0,0,0,0,0,0,0,0,0,0,"Madison, Wisconsin","Kirinyaga, Kenya",Medium-Light,8/1/2020,56/74,9,9,9,9,9,africa_arabia,0.061729484,0.9217,0.886,0.4019
1308,95,JBC Coffee Roasters,Miraflores Colombia,0,0,0,0,0,0,0,1,0,0,0,"Madison, Wisconsin","Sevilla, San Augustin, Huila, Colombia",Medium-Light,8/1/2020,58/78,9,9,9,9,9,south_america,0.064668983,0.8957,0.886,0.8555
1309,94,Drink Coffee Do Stuff,Kenya Gatuya,0,0,0,0,0,0,0,0,0,0,0,"Truckee, California","Murang'a County, central Kenya",Medium-Light,8/1/2020,55/73,9,9,9,9,8,africa_arabia,0.061729484,0.8225,0.5256,0.4588
1310,94,Red Rooster Coffee Roaster,Flight Seasonal Espresso,1,0,0,0,0,0,0,0,0,0,0,"Floyd, Virginia",Ethiopia,Medium-Light,8/1/2020,58/80,9,,9,9,8,africa_arabia,0.054351341,0.8658,0.3612,0.6369
1311,94,Temple Coffee Roasters,Kenya Gicherori,0,0,0,0,0,0,0,0,0,0,0,"Sacramento, California","Embu, Kenya",Medium-Light,8/1/2020,58/78,9,9,9,9,8,africa_arabia,0.069078232,0.8481,0.2732,0.7003
1312,93,SkyTop Coffee,Ethiopia Duromina Agaro Gera,0,0,0,0,1,0,0,0,0,0,0,"Manlius, New York","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,8/1/2020,60/78,9,9,8,9,8,africa_arabia,0.044092488,0.4588,0.3612,0.4939
1313,94,Red Rooster Coffee Roaster,Ethiopia Kayon Mountain (Natural),0,1,0,0,0,0,0,1,0,0,0,"Floyd, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,8/1/2020,64/92,9,9,9,9,8,africa_arabia,0.05582109,0.7184,0.3612,0.8236
1314,93,SkyTop Coffee,Peru San Ignacio Calazobo Lot 2 FTO,0,1,1,0,1,0,0,0,0,0,0,"Manlius, New York","Cajamarca, Peru",Medium-Light,8/1/2020,54/72,9,8,9,9,8,south_america,0.044092488,0.4588,-0.1027,0.9324
1315,94,Red Rooster Coffee Roaster,Ethiopia Kayon Mountain (Washed),0,0,0,0,0,0,0,1,0,0,0,"Floyd, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,8/1/2020,62/88,9,9,9,9,8,africa_arabia,0.054351341,0.8402,0,0.743
1316,90,421 Brew House,Sahara Sunrise,0,0,0,0,0,0,0,0,0,0,0,"Calgary, Alberta, Canada",Rwanda,Medium-Light,8/1/2020,50/76,8,8,8,8,8,africa_arabia,0.049971487,0.7783,0,0.6808
1317,86,421 Brew House,Amazon Haze,0,0,0,0,0,0,0,0,0,0,0,"Calgary, Alberta, Canada",Guatemala,Medium,8/1/2020,46/70,7,7,7,8,7,central_america,0.049971487,0.8402,0,0.4588
1318,92,Emiliani Coffee,Organic Peru,0,1,0,0,0,0,0,0,0,0,0,"Minneapolis, Minnesota",Peru,Medium-Light,8/1/2020,50/72,9,8,8,9,8,south_america,0.042807507,0.8402,0.1779,0.7351
1319,91,Emiliani Coffee,Organic Sumatra,0,1,1,0,0,0,0,0,0,0,0,"Minneapolis, Minnesota","Aceh, Sumatra, Indonesia",Medium,8/1/2020,44/60,8,8,8,9,8,asia_pacific,0.042807507,0.967,0.4588,0.7783
1320,90,Emiliani Coffee,Organic Mexico,0,1,0,0,0,0,0,0,0,0,0,"Minneapolis, Minnesota","Chiapas, Mexico",Medium-Light,8/1/2020,54/70,8,8,8,8,8,central_america,0.042807507,0.836,0.1779,0.5267
1321,93,Doho Coffee Roasters,Classic Blend Espresso,1,0,0,0,0,0,1,0,0,0,0,"Caotun, Nantou, Taiwan",Not disclosed,Medium,8/1/2020,50/67,9,,8,9,8,other,0.047142857,0.7096,0.6705,0.5859
1322,95,Indaba Coffee Roasters,Ethiopia Dame Dabaye,0,0,0,0,1,0,0,0,0,0,0,"Spokane, Washington","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,8/1/2020,60/76,9,9,9,9,9,africa_arabia,0.047031988,0.8957,0.8591,0.8381
1323,93,Indaba Coffee Roasters,Ethiopia Suke Quto,0,0,0,0,0,0,0,0,0,0,0,"Spokane, Washington","Guji Zone, Oromia Region, south-central Ethiopia",Medium-Light,8/1/2020,58/74,9,8,9,9,8,africa_arabia,0.047031988,0.8588,0.8481,0.6872
1324,91,Indaba Coffee Roasters,Gelena Abaya Natural,0,0,0,0,0,0,0,0,0,0,0,"Spokane, Washington","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,8/1/2020,54/72,8,8,8,9,8,africa_arabia,0.047031988,0.872,0.7717,0.8225
1325,96,Kakalove Cafe,Kenya Nyeri AB Nyeshun,0,0,0,0,0,0,0,0,0,0,0,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,8/1/2020,58/78,9,9,9,10,9,africa_arabia,0.058202085,0.9169,0.2894,0.8074
1326,94,Kakalove Cafe,Ethiopia Guji Bishala,0,0,0,0,0,0,0,0,0,0,0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,8/1/2020,58/76,9,9,9,9,8,africa_arabia,0.042196511,0.8402,0.802,0.7506
1327,94,Wonderstate Coffee,Ethiopia Wegida Natural,0,0,0,0,0,0,0,0,0,0,0,"Viroqua, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Light,8/1/2020,62/80,9,9,9,9,8,africa_arabia,0.058789985,0.7184,0.9201,0.9069
1328,93,Wonderstate Coffee,Organic Panorama,0,1,0,0,0,0,0,0,0,0,0,"Viroqua, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium-Light,8/1/2020,60/76,9,8,9,9,8,africa_arabia,0.052910986,0.836,0.9403,0.8519
1329,92,Wonderstate Coffee,Organic Heartstrings,0,1,0,0,0,0,1,0,0,0,0,"Viroqua, Wisconsin",Ethiopia; Peru,Medium-Light,8/1/2020,54/72,9,8,8,9,8,other,0.052910986,0.8402,0.891,0.836
1330,91,Wonderstate Coffee,Organic Ethiopia Chelbessa Danche,0,1,0,0,0,0,0,0,0,0,0,"Viroqua, Wisconsin","Worka Chelbessa, Gedeb, Ethiopia",Medium-Light,8/1/2020,56/70,9,8,8,9,7,africa_arabia,0.058789985,0.8519,0.9403,0.765
1331,94,Origin Coffee Roasters,Ka’u Red Caturra Peaberry,0,0,0,0,0,0,0,1,1,0,0,"Kihei, Maui, Hawaii","Wood Valley, Ka’u, Big Island of Hawai’i",Medium-Light,8/1/2020,58/78,9,9,9,9,8,hawaii,0.146974961,0.836,0.128,0.5574
1332,93,Origin Coffee Roasters,Ka’u Red Caturra,0,0,0,0,0,0,0,1,0,0,0,"Kihei, Maui, Hawai'i","Wood Valley, Ka’u, Big Island of Hawai’i",Medium-Light,8/1/2020,55/77,9,8,9,9,8,hawaii,0.138156464,0.8479,0.128,0.3612
1333,87,Cafe Arles,French Riviera,0,0,0,0,0,0,1,0,0,0,0,"Hsinchu, Taiwan",Brazil; Guatemala; Indonesia,Medium,8/1/2020,47/64,7,7,8,8,7,other,0.040333333,0.9509,0,0.4404
1334,95,Equiano Coffee,Wush Wush Ginbo Keffa Ethiopia,0,0,0,0,1,0,0,0,0,0,0,"Eugene, Oregon","Sidama growing region, southern Ethiopia",Medium-Light,8/1/2020,60/74,9,9,9,9,9,africa_arabia,0.052910986,0.9493,0.6369,0.7269
1335,95,Boon Boona Coffee,Burundi Karehe,0,0,0,0,0,0,0,0,0,0,0,"Renton, Washington","Ngozi Province, Burundi",Medium-Light,8/1/2020,60/76,9,9,9,9,9,africa_arabia,0.058789985,0.9536,-0.1027,0.2732
1336,94,BeanFruit Coffee Co.,Colombia Finca El Roblar,0,0,0,0,1,0,0,1,0,0,0,"Jackson, Mississippi","Suaza, Huila, Colombia",Medium-Light,8/1/2020,60/76,9,9,9,9,8,south_america,0.048501737,0.9196,0.8481,0.4404
1337,94,BLK & Bold,Limu Ethiopia Natural,0,0,1,0,1,0,0,0,0,0,0,"Des Moines, Iowa","Jimma Zone, Oromia State, Ethiopia",Light,8/1/2020,66/85,9,8,9,9,8,africa_arabia,0.041152989,0.9136,0.875,0.8545
1338,94,Dávila Kafe,Estelí Nicaragua,0,0,0,0,0,0,0,1,0,0,0,"Washington, D.C.","Dipilto, Nicaragua",Medium-Light,8/1/2020,60/79,9,9,9,9,8,central_america,0.066138733,0.8807,0.25,0.8442
1339,94,Merge Coffee Company,Ethiopia Gera Estate Natural,0,0,0,0,1,0,0,0,0,0,0,"Harrisonburg, Virginia","Agaro Gera, Jimma Zone, Oromia Region, Ethiopia",Light,8/1/2020,67/96,8,9,9,9,9,africa_arabia,0.047002593,0.886,0.8834,0.7425
